Year,Rice_Production
1971,11140.96
1972,11300.02
1973,13185.33
1974,12283
1975,14186.58
1976,12999.89
1977,14305.75
1978,14155.19
1979,13876.63
1980,15243.26
1981,15034.55
1982,15527.79
1983,15954.31
1984,15860.16
1985,16465.14
1986,16753.93
1987,16537.66
1988,16349.44
1989,18749.74
1990,18781.93
1991,19109.19
1992,19284.69
1993,18917.89
1994,17736.89
1995,18476.12
1996,19747.29
1997,19641.79
1998,20442.8
1999,23924.86
2000,26048.02
2001,25197.66
2002,26032.69
2003,26975.23
2004,25614.09
2005,27121.56
2006,27824.55
2007,29217.72
2008,31778.53
2009,32541.79
2010,34049.35
2011,30733
2012,30853
2013,31277.2
2014,34861.2
2015,35060.1
2016,34201.5
2017,36278.5
2018,37363.72
2019,38695.33
2020,
